,W1,W2,W3
Nov-12,525.8492595,57.86770416,1615.721574
Dec-12,830.756149,71.44416698,1417.148639
Jan-13,1004.234536,74.72279454,1524.98254
Feb-13,2001.372003,233.2882476,2828.497691
Mar-13,1532.815906,208.9172993,4285.200336
Apr-13,1434.394553,177.4927536,4933.251149
May-13,380,33.66666667,5794.267808
Jun-13,380,33.66666667,2223.560826
Jul-13,1035.967371,102.8556544,2197.194624
Aug-13,873.2645508,97.23323944,2028.014854
Sep-13,887.1624873,97.74294284,2082.173118
Oct-13,801.1352682,93.85100409,1421.989901
Nov-13,520.4977503,60.56374164,1630.403985
Dec-13,750.2302643,79.26820119,1528.820664
Jan-14,1553.491536,78.01252758,1389.90223
Feb-14,1050.523599,185.0721456,2047.788979
Mar-14,1932.193876,233.3856718,4502.237516
Apr-14,1471.694934,167.774366,4968.144066
May-14,380,33.66666667,4663.15354
Jun-14,380,33.66666667,1849.93748
Jul-14,1075.531302,99.8012114,2234.376193
Aug-14,889.7811874,95.66046754,1920.740721
Sep-14,788.1188967,96.25460533,1959.010145
Oct-14,819.6554579,92.06192429,1350.240481
Nov-14,513.8646511,57.97400032,1526.684142
Dec-14,842.4343763,74.31992936,1569.947702
Jan-15,1466.270963,86.44544055,1701.025836
Feb-15,1914.60941,187.9385938,2026.723988
Mar-15,1698.591382,222.0158978,4408.261643
Apr-15,858.8568038,146.3249143,4419.372436
May-15,380,33.66666667,5733.313556
Jun-15,380,33.66666667,2788.364679
Jul-15,1093.543766,111.8667087,2096.554208
Aug-15,862.5405464,92.80030086,1934.623124
Sep-15,921.763109,96.12979843,1928.207356
Oct-15,833.0107096,93.83546149,1338.317686
Nov-15,512.8506159,61.75791854,1539.054547
Dec-15,845.4523711,75.65599463,1436.63775
Jan-16,1450.59246,80.87553188,1473.687531
Feb-16,1520.706492,212.1069907,2562.710735
Mar-16,1456.988259,219.323917,4469.151227
Apr-16,1284.150136,167.4712492,4649.808637
May-16,380,33.66666667,6820.96936
Jun-16,380,33.66666667,3426.878333
Jul-16,1078.974614,100.1912148,2265.585318
Aug-16,835.6130719,90.36066427,1807.149972
Sep-16,867.9500189,93.44713943,2055.579933
Oct-16,795.9893658,94.37465389,1406.970974
Nov-16,496.0792939,62.16416107,1781.049162
Dec-16,768.1398436,74.73150447,1392.856524
Jan-17,1053.685884,81.8688721,1507.332728
Feb-17,1720.469838,144.1281215,963.5689484
Mar-17,1624.391644,206.2543442,3504.197991
Apr-17,1272.502848,133.2283893,3733.275643
May-17,380,33.66666667,4250.762603
Jun-17,380,33.66666667,1897.49736
Jul-17,1037.315686,112.9052382,2451.63687
Aug-17,880.8227627,86.41748444,1721.834199
Sep-17,963.1926246,112.1196163,2293.206911
Oct-17,717.3750654,74.15386809,1219.499994
Nov-17,423.5890767,44.59865603,1267.202753
Dec-17,840.047927,75.00735493,1504.810491
Jan-18,1727.567456,40.14669325,736.2243264
Feb-18,2055.782599,208.8787845,2145.677729
Mar-18,1426.394053,218.3175462,4100.737643
Apr-18,586.9529113,177.4970392,3247.698176
May-18,190,16.83333333,3604.708814
Jun-18,190,16.83333333,2405.634657
Jul-18,532.2089796,54.96412654,1199.415337
Aug-18,436.2710245,42.90537937,861.9578684
Sep-18,433.1575354,47.93149963,1008.041215
Oct-18,420.2636733,45.64159809,673.9279723
,,,
,,,
,,,
,,,
,,,
unit,million m³,,