DateTime,Year,Month,W1,W2,W3
12-Nov,12,11,525.8492595,57.86770416,1615.721574
12-Dec,12,12,830.756149,71.44416698,1417.148639
13-Jan,13,1,1004.234536,74.72279454,1524.98254
13-Feb,13,2,2001.372003,233.2882476,2828.497691
13-Mar,13,3,1532.815906,208.9172993,4285.200336
13-Apr,13,4,1434.394553,177.4927536,4933.251149
13-May,13,5,380,33.66666667,5794.267808
13-Jun,13,6,380,33.66666667,2223.560826
13-Jul,13,7,1035.967371,102.8556544,2197.194624
13-Aug,13,8,873.2645508,97.23323944,2028.014854
13-Sep,13,9,887.1624873,97.74294284,2082.173118
13-Oct,13,10,801.1352682,93.85100409,1421.989901
13-Nov,13,11,520.4977503,60.56374164,1630.403985
13-Dec,13,12,750.2302643,79.26820119,1528.820664
14-Jan,14,1,1553.491536,78.01252758,1389.90223
14-Feb,14,2,1050.523599,185.0721456,2047.788979
14-Mar,14,3,1932.193876,233.3856718,4502.237516
14-Apr,14,4,1471.694934,167.774366,4968.144066
14-May,14,5,380,33.66666667,4663.15354
14-Jun,14,6,380,33.66666667,1849.93748
14-Jul,14,7,1075.531302,99.8012114,2234.376193
14-Aug,14,8,889.7811874,95.66046754,1920.740721
14-Sep,14,9,788.1188967,96.25460533,1959.010145
14-Oct,14,10,819.6554579,92.06192429,1350.240481
14-Nov,14,11,513.8646511,57.97400032,1526.684142
14-Dec,14,12,842.4343763,74.31992936,1569.947702
15-Jan,15,1,1466.270963,86.44544055,1701.025836
15-Feb,15,2,1914.60941,187.9385938,2026.723988
15-Mar,15,3,1698.591382,222.0158978,4408.261643
15-Apr,15,4,858.8568038,146.3249143,4419.372436
15-May,15,5,380,33.66666667,5733.313556
15-Jun,15,6,380,33.66666667,2788.364679
15-Jul,15,7,1093.543766,111.8667087,2096.554208
15-Aug,15,8,862.5405464,92.80030086,1934.623124
15-Sep,15,9,921.763109,96.12979843,1928.207356
15-Oct,15,10,833.0107096,93.83546149,1338.317686
15-Nov,15,11,512.8506159,61.75791854,1539.054547
15-Dec,15,12,845.4523711,75.65599463,1436.63775
16-Jan,16,1,1450.59246,80.87553188,1473.687531
16-Feb,16,2,1520.706492,212.1069907,2562.710735
16-Mar,16,3,1456.988259,219.323917,4469.151227
16-Apr,16,4,1284.150136,167.4712492,4649.808637
16-May,16,5,380,33.66666667,6820.96936
16-Jun,16,6,380,33.66666667,3426.878333
16-Jul,16,7,1078.974614,100.1912148,2265.585318
16-Aug,16,8,835.6130719,90.36066427,1807.149972
16-Sep,16,9,867.9500189,93.44713943,2055.579933
16-Oct,16,10,795.9893658,94.37465389,1406.970974
16-Nov,16,11,496.0792939,62.16416107,1781.049162
16-Dec,16,12,768.1398436,74.73150447,1392.856524
17-Jan,17,1,1053.685884,81.8688721,1507.332728
17-Feb,17,2,1720.469838,144.1281215,963.5689484
17-Mar,17,3,1624.391644,206.2543442,3504.197991
17-Apr,17,4,1272.502848,133.2283893,3733.275643
17-May,17,5,380,33.66666667,4250.762603
17-Jun,17,6,380,33.66666667,1897.49736
17-Jul,17,7,1037.315686,112.9052382,2451.63687
17-Aug,17,8,880.8227627,86.41748444,1721.834199
17-Sep,17,9,963.1926246,112.1196163,2293.206911
17-Oct,17,10,717.3750654,74.15386809,1219.499994
17-Nov,17,11,423.5890767,44.59865603,1267.202753
17-Dec,17,12,840.047927,75.00735493,1504.810491
18-Jan,18,1,1727.567456,40.14669325,736.2243264
18-Feb,18,2,2055.782599,208.8787845,2145.677729
18-Mar,18,3,1426.394053,218.3175462,4100.737643
18-Apr,18,4,586.9529113,177.4970392,3247.698176
18-May,18,5,190,16.83333333,3604.708814
18-Jun,18,6,190,16.83333333,2405.634657
18-Jul,18,7,532.2089796,54.96412654,1199.415337
18-Aug,18,8,436.2710245,42.90537937,861.9578684
18-Sep,18,9,433.1575354,47.93149963,1008.041215
18-Oct,18,10,420.2636733,45.64159809,673.9279723